,Symbol,Name,Price,Change,% Change,Market Cap,Total Volume,Circulating Supply
0,BTC-USD,Bitcoin USD,"27,131.97",-239.65,-0.88%,528.808B,14.26B,14.26B
1,ETH-USD,Ethereum USD,"1,643.67",-23.03,-1.38%,197.612B,4.756B,4.756B
2,USDT-USD,Tether USDt USD,1.0002,-0.0001,-0.01%,83.111B,20.788B,20.788B
3,BNB-USD,BNB USD,218.06,-2.75,-1.25%,33.548B,405.227M,405.227M
4,XRP-USD,XRP USD,0.508792,+0.005903,+1.17%,27.055B,1.008B,1.008B
5,USDC-USD,USD Coin USD,1.0001,-0.0001,-0.01%,26.095B,3.059B,3.059B
6,STETH-USD,Lido Staked ETH USD,"1,644.12",-14.45,-0.87%,14.278B,5.484M,5.484M
7,ADA-USD,Cardano USD,0.256067,+0.000822,+0.32%,8.99B,118.417M,118.417M
8,DOGE-USD,Dogecoin USD,0.062579,-0.000140,-0.22%,8.828B,201.41M,201.41M
9,TON11419-USD,Toncoin USD,2.5067,+0.0635,+2.60%,8.603B,58.705M,58.705M
10,WTRX-USD,Wrapped TRON USD,0.083216,+0.000744,+0.90%,8.461B,"214,709","214,709"
11,SOL-USD,Solana USD,20.06,+0.14,+0.68%,8.251B,276.086M,276.086M
12,TRX-USD,TRON USD,0.084427,-0.000265,-0.31%,7.528B,167.725M,167.725M
13,DAI-USD,Dai USD,0.999494,-0.001420,-0.14%,5.345B,81.404M,81.404M
14,DOT-USD,Polkadot USD,4.1282,-0.0803,-1.91%,5.057B,103.529M,103.529M
15,MATIC-USD,Polygon USD,0.536844,+0.002806,+0.53%,5.003B,204.798M,204.798M
16,LTC-USD,Litecoin USD,67.40,+0.39,+0.59%,4.965B,373.57M,373.57M
17,WBTC-USD,Wrapped Bitcoin USD,"27,167.67",-106.83,-0.39%,4.428B,112.923M,112.923M
18,SHIB-USD,Shiba Inu USD,0.00000740,-0.00000000,-0.02%,4.359B,81.635M,81.635M
19,BCH-USD,Bitcoin Cash USD,219.19,-5.09,-2.27%,4.276B,209.134M,209.134M
20,LINK-USD,Chainlink USD,6.7398,+0.0007,+0.01%,3.753B,262.772M,262.772M
21,LEO-USD,UNUS SED LEO USD,3.7049,+0.0293,+0.80%,3.443B,"775,890","775,890"
22,XLM-USD,Stellar USD,0.118595,-0.000741,-0.62%,3.265B,52.797M,52.797M
23,AVAX-USD,Avalanche USD,9.2045,-0.1017,-1.09%,3.258B,113.188M,113.188M
24,WKAVA-USD,Wrapped Kava USD,6.3959,+0.1146,+1.83%,3.183B,"3,597","3,597"
25,TUSD-USD,TrueUSD USD,0.9990,-0.0011,-0.1066%,3.101B,371.928M,371.928M
26,XMR-USD,Monero USD,147.92,+0.48,+0.33%,2.712B,41.59M,41.59M
27,ATOM-USD,Cosmos USD,7.37,-0.05,-0.72%,2.692B,76.129M,76.129M
28,OKB-USD,OKB USD,43.95,+0.25,+0.58%,2.637B,3.319M,3.319M
29,UNI7083-USD,Uniswap USD,4.4321,-0.0145,-0.3253%,2.560B,75.02M,75.02M
30,BUSD-USD,Binance USD USD,1.0000,-0.0007,-0.07%,2.471B,688.856M,688.856M
31,ETC-USD,Ethereum Classic USD,15.73,-0.25,-1.59%,2.251B,85.419M,85.419M
